#Format: HPO-ID<tab>HPO-Name<tab>Gene-ID<tab>Gene-Name
HP:0000878	11 pairs of ribs	126792	B3GALT6
HP:0001438	Abnormality of abdomen morphology	51660	MPC1
HP:0001438	Abnormality of abdomen morphology	3561	IL2RG
HP:0001438	Abnormality of abdomen morphology	4594	MUT
HP:0001438	Abnormality of abdomen morphology	1536	CYBB
HP:0001438	Abnormality of abdomen morphology	613	BCR
HP:0001438	Abnormality of abdomen morphology	2799	GNS
HP:0001438	Abnormality of abdomen morphology	6899	TBX1
HP:0001438	Abnormality of abdomen morphology	83737	ITCH
HP:0001438	Abnormality of abdomen morphology	811	CALR
HP:0001438	Abnormality of abdomen morphology	2934	GSN
HP:0001438	Abnormality of abdomen morphology	4023	LPL
HP:0001438	Abnormality of abdomen morphology	9184	BUB3
HP:0001438	Abnormality of abdomen morphology	23522	KAT6B
HP:0001438	Abnormality of abdomen morphology	23534	TNPO3
HP:0004360	Abnormality of acid-base homeostasis	4645	MYO5B
HP:0004360	Abnormality of acid-base homeostasis	56922	MCCC1
HP:0004360	Abnormality of acid-base homeostasis	60528	ELAC2
HP:0004360	Abnormality of acid-base homeostasis	4729	NDUFV2
HP:0004360	Abnormality of acid-base homeostasis	3242	HPD
HP:0004360	Abnormality of acid-base homeostasis	8452	CUL3
HP:0004360	Abnormality of acid-base homeostasis	9997	SCO2
HP:0004360	Abnormality of acid-base homeostasis	23417	MLYCD
HP:0004360	Abnormality of acid-base homeostasis	445	ASS1
HP:0004360	Abnormality of acid-base homeostasis	51660	MPC1
HP:0004360	Abnormality of acid-base homeostasis	4594	MUT
HP:0011732	Abnormality of adrenal morphology	2778	GNAS
HP:0011732	Abnormality of adrenal morphology	6496	SIX3
HP:0011733	Abnormality of adrenal physiology	7681	MKRN3
HP:0011733	Abnormality of adrenal physiology	8452	CUL3
HP:0011733	Abnormality of adrenal physiology	6736	SRY
HP:0011733	Abnormality of adrenal physiology	56246	MRAP
HP:0011733	Abnormality of adrenal physiology	2778	GNAS
HP:0004379	Abnormality of alkaline phosphatase activity	23534	TNPO3
HP:0004379	Abnormality of alkaline phosphatase activity	57592	ZNF687
HP:0004337	Abnormality of amino acid metabolism	10841	FTCD
HP:0004337	Abnormality of amino acid metabolism	56922	MCCC1
HP:0004337	Abnormality of amino acid metabolism	3242	HPD
HP:0004337	Abnormality of amino acid metabolism	9652	TTC37
HP:0004337	Abnormality of amino acid metabolism	445	ASS1
HP:0004337	Abnormality of amino acid metabolism	4594	MUT
HP:0004337	Abnormality of amino acid metabolism	26873	OPLAH
HP:0010909	Abnormality of arginine metabolism	445	ASS1
HP:0004338	Abnormality of aromatic amino acid family metabolism	10841	FTCD
HP:0004338	Abnormality of aromatic amino acid family metabolism	3242	HPD
HP:0010899	Abnormality of aspartate family amino acid metabolism	9652	TTC37
HP:0001912	Abnormality of basophils	613	BCR
HP:0011514	Abnormality of binocular vision	8913	CACNA1G
HP:0025487	Abnormality of bladder morphology	57167	SALL4
HP:0025487	Abnormality of bladder morphology	10516	FBLN5
HP:0025487	Abnormality of bladder morphology	2006	ELN
HP:0001871	Abnormality of blood and blood-forming tissues	2189	FANCG
HP:0001871	Abnormality of blood and blood-forming tissues	4261	CIITA
HP:0001871	Abnormality of blood and blood-forming tissues	55532	SLC30A10
HP:0001871	Abnormality of blood and blood-forming tissues	22852	ANKRD26
HP:0001871	Abnormality of blood and blood-forming tissues	57697	FANCM
HP:0001871	Abnormality of blood and blood-forming tissues	29071	C1GALT1C1
HP:0001871	Abnormality of blood and blood-forming tissues	80270	HSD3B7
HP:0001871	Abnormality of blood and blood-forming tissues	6575	SLC20A2
HP:0001871	Abnormality of blood and blood-forming tissues	4594	MUT
HP:0001871	Abnormality of blood and blood-forming tissues	4607	MYBPC3
HP:0001871	Abnormality of blood and blood-forming tissues	10841	FTCD
HP:0001871	Abnormality of blood and blood-forming tissues	613	BCR
HP:0001871	Abnormality of blood and blood-forming tissues	2683	B4GALT1
HP:0001871	Abnormality of blood and blood-forming tissues	10892	MALT1
HP:0001871	Abnormality of blood and blood-forming tissues	2778	GNAS
HP:0001871	Abnormality of blood and blood-forming tissues	6899	TBX1
HP:0001871	Abnormality of blood and blood-forming tissues	811	CALR
HP:0001871	Abnormality of blood and blood-forming tissues	7018	TF
HP:0001871	Abnormality of blood and blood-forming tissues	56262	LRRC8A
HP:0001871	Abnormality of blood and blood-forming tissues	7128	TNFAIP3
HP:0001871	Abnormality of blood and blood-forming tissues	9184	BUB3
HP:0001871	Abnormality of blood and blood-forming tissues	23522	KAT6B
HP:0001871	Abnormality of blood and blood-forming tissues	23534	TNPO3
HP:0001871	Abnormality of blood and blood-forming tissues	5156	PDGFRA
HP:0001871	Abnormality of blood and blood-forming tissues	1130	LYST
HP:0001871	Abnormality of blood and blood-forming tissues	5230	PGK1
HP:0001871	Abnormality of blood and blood-forming tissues	3257	HPS1
HP:0001871	Abnormality of blood and blood-forming tissues	9526	MPDU1
HP:0001871	Abnormality of blood and blood-forming tissues	25939	SAMHD1
HP:0001871	Abnormality of blood and blood-forming tissues	9652	TTC37
HP:0001871	Abnormality of blood and blood-forming tissues	3561	IL2RG
HP:0001871	Abnormality of blood and blood-forming tissues	1536	CYBB
HP:0001871	Abnormality of blood and blood-forming tissues	1548	CYP2A6
HP:0001871	Abnormality of blood and blood-forming tissues	57167	SALL4
HP:0001871	Abnormality of blood and blood-forming tissues	79719	AAGAB
HP:0001871	Abnormality of blood and blood-forming tissues	51128	SAR1B
HP:0001871	Abnormality of blood and blood-forming tissues	2006	ELN
HP:0011028	Abnormality of blood circulation	5156	PDGFRA
HP:0011028	Abnormality of blood circulation	4645	MYO5B
HP:0011028	Abnormality of blood circulation	1130	LYST
HP:0011028	Abnormality of blood circulation	3257	HPS1
HP:0011028	Abnormality of blood circulation	6899	TBX1
HP:0011028	Abnormality of blood circulation	80270	HSD3B7
HP:0011028	Abnormality of blood circulation	2006	ELN
HP:0011028	Abnormality of blood circulation	4594	MUT
HP:0011015	Abnormality of blood glucose concentration	8516	ITGA8
HP:0011015	Abnormality of blood glucose concentration	56922	MCCC1
HP:0011015	Abnormality of blood glucose concentration	4729	NDUFV2
HP:0011015	Abnormality of blood glucose concentration	23417	MLYCD
HP:0011015	Abnormality of blood glucose concentration	5506	PPP1R3A
HP:0011015	Abnormality of blood glucose concentration	56246	MRAP
HP:0011015	Abnormality of blood glucose concentration	9150	CTDP1
HP:0011015	Abnormality of blood glucose concentration	51660	MPC1
HP:0011104	Abnormality of blood volume homeostasis	2006	ELN
HP:0011104	Abnormality of blood volume homeostasis	4645	MYO5B
HP:0000002	Abnormality of body height	112752	IFT43
HP:0000002	Abnormality of body height	8318	CDC45
HP:0000002	Abnormality of body height	2189	FANCG
HP:0000002	Abnormality of body height	57492	ARID1B
HP:0000002	Abnormality of body height	10516	FBLN5
HP:0000002	Abnormality of body height	57697	FANCM
HP:0000002	Abnormality of body height	10617	STAMBP
HP:0000002	Abnormality of body height	10682	EBP
HP:0000002	Abnormality of body height	6736	SRY
HP:0000002	Abnormality of body height	613	BCR
HP:0000002	Abnormality of body height	2778	GNAS
HP:0000002	Abnormality of body height	6899	TBX1
HP:0000002	Abnormality of body height	23394	ADNP
HP:0000002	Abnormality of body height	23417	MLYCD
HP:0000002	Abnormality of body height	9150	CTDP1
HP:0000002	Abnormality of body height	9184	BUB3
HP:0000002	Abnormality of body height	23522	KAT6B
HP:0000002	Abnormality of body height	5130	PCYT1A
HP:0000002	Abnormality of body height	9321	TRIP11
HP:0000002	Abnormality of body height	9361	LONP1
HP:0000002	Abnormality of body height	7486	WRN
HP:0000002	Abnormality of body height	9652	TTC37
HP:0000002	Abnormality of body height	7681	MKRN3
HP:0000002	Abnormality of body height	54820	NDE1
HP:0000002	Abnormality of body height	9775	EIF4A3
HP:0000002	Abnormality of body height	118429	ANTXR2
HP:0000002	Abnormality of body height	5932	RBBP8
HP:0000002	Abnormality of body height	126792	B3GALT6
HP:0000002	Abnormality of body height	57167	SALL4
HP:0000002	Abnormality of body height	10084	PQBP1
HP:0000002	Abnormality of body height	1908	EDN3
HP:0000002	Abnormality of body height	2006	ELN
HP:0000002	Abnormality of body height	51199	NIN
HP:0004323	Abnormality of body weight	8318	CDC45
HP:0004323	Abnormality of body weight	2189	FANCG
HP:0004323	Abnormality of body weight	57492	ARID1B
HP:0004323	Abnormality of body weight	6295	SAG
HP:0004323	Abnormality of body weight	4261	CIITA
HP:0004323	Abnormality of body weight	80208	SPG11
HP:0004323	Abnormality of body weight	57697	FANCM
HP:0004323	Abnormality of body weight	10617	STAMBP
HP:0004323	Abnormality of body weight	80270	HSD3B7
HP:0004323	Abnormality of body weight	10682	EBP
HP:0004323	Abnormality of body weight	445	ASS1
HP:0004323	Abnormality of body weight	4594	MUT
HP:0004323	Abnormality of body weight	113179	ADAT3
HP:0004323	Abnormality of body weight	6736	SRY
HP:0004323	Abnormality of body weight	4729	NDUFV2
HP:0004323	Abnormality of body weight	10892	MALT1
HP:0004323	Abnormality of body weight	2778	GNAS
HP:0004323	Abnormality of body weight	64218	SEMA4A
HP:0004323	Abnormality of body weight	6899	TBX1
HP:0004323	Abnormality of body weight	23394	ADNP
HP:0004323	Abnormality of body weight	56262	LRRC8A
HP:0004323	Abnormality of body weight	23522	KAT6B
HP:0004323	Abnormality of body weight	5148	PDE6G
HP:0004323	Abnormality of body weight	60528	ELAC2
HP:0004323	Abnormality of body weight	3242	HPD
HP:0004323	Abnormality of body weight	9526	MPDU1
HP:0004323	Abnormality of body weight	7486	WRN
HP:0004323	Abnormality of body weight	3394	IRF8
HP:0004323	Abnormality of body weight	9652	TTC37
HP:0004323	Abnormality of body weight	3561	IL2RG
HP:0004323	Abnormality of body weight	7681	MKRN3
HP:0004323	Abnormality of body weight	56922	MCCC1
HP:0004323	Abnormality of body weight	118429	ANTXR2
HP:0004323	Abnormality of body weight	83696	TRAPPC9
HP:0004323	Abnormality of body weight	5932	RBBP8
HP:0004323	Abnormality of body weight	3908	LAMA2
HP:0004323	Abnormality of body weight	126792	B3GALT6
HP:0004323	Abnormality of body weight	1908	EDN3
HP:0004323	Abnormality of body weight	346007	EYS
HP:0004323	Abnormality of body weight	1954	MEGF8
HP:0004323	Abnormality of body weight	51128	SAR1B
HP:0004323	Abnormality of body weight	79813	EHMT1
HP:0004323	Abnormality of body weight	2006	ELN
HP:0005561	Abnormality of bone marrow cell morphology	811	CALR
HP:0005561	Abnormality of bone marrow cell morphology	1130	LYST
HP:0004348	Abnormality of bone mineral density	112752	IFT43
HP:0004348	Abnormality of bone mineral density	2189	FANCG
HP:0004348	Abnormality of bone mineral density	10516	FBLN5
HP:0004348	Abnormality of bone mineral density	7486	WRN
HP:0004348	Abnormality of bone mineral density	57697	FANCM
HP:0004348	Abnormality of bone mineral density	80270	HSD3B7
HP:0004348	Abnormality of bone mineral density	10682	EBP
HP:0004348	Abnormality of bone mineral density	7681	MKRN3
HP:0004348	Abnormality of bone mineral density	6736	SRY
HP:0004348	Abnormality of bone mineral density	10892	MALT1
HP:0004348	Abnormality of bone mineral density	118429	ANTXR2
HP:0004348	Abnormality of bone mineral density	2778	GNAS
HP:0004348	Abnormality of bone mineral density	126792	B3GALT6
HP:0004348	Abnormality of bone mineral density	9150	CTDP1
HP:0004348	Abnormality of bone mineral density	2006	ELN
HP:0004348	Abnormality of bone mineral density	23534	TNPO3
HP:0012443	Abnormality of brain morphology	8318	CDC45
HP:0012443	Abnormality of brain morphology	57492	ARID1B
HP:0012443	Abnormality of brain morphology	4361	MRE11
HP:0012443	Abnormality of brain morphology	57697	FANCM
HP:0012443	Abnormality of brain morphology	410	ARSA
HP:0012443	Abnormality of brain morphology	445	ASS1
HP:0012443	Abnormality of brain morphology	4594	MUT
HP:0012443	Abnormality of brain morphology	613	BCR
HP:0012443	Abnormality of brain morphology	4729	NDUFV2
HP:0012443	Abnormality of brain morphology	8913	CACNA1G
HP:0012443	Abnormality of brain morphology	811	CALR
HP:0012443	Abnormality of brain morphology	283489	CHAMP1
HP:0012443	Abnormality of brain morphology	9150	CTDP1
HP:0012443	Abnormality of brain morphology	9184	BUB3
HP:0012443	Abnormality of brain morphology	5119	CHMP1A
HP:0012443	Abnormality of brain morphology	5130	PCYT1A
HP:0012443	Abnormality of brain morphology	1123	CHN1
HP:0012443	Abnormality of brain morphology	1130	LYST
HP:0012443	Abnormality of brain morphology	5230	PGK1
HP:0012443	Abnormality of brain morphology	9361	LONP1
HP:0012443	Abnormality of brain morphology	1181	CLCN2
HP:0012443	Abnormality of brain morphology	9526	MPDU1
HP:0012443	Abnormality of brain morphology	25939	SAMHD1
HP:0012443	Abnormality of brain morphology	54820	NDE1
HP:0012443	Abnormality of brain morphology	1605	DAG1
HP:0012443	Abnormality of brain morphology	5723	PSPH
HP:0012443	Abnormality of brain morphology	124590	USH1G
HP:0012443	Abnormality of brain morphology	83696	TRAPPC9
HP:0012443	Abnormality of brain morphology	79600	TCTN1
HP:0012443	Abnormality of brain morphology	9997	SCO2
HP:0012443	Abnormality of brain morphology	5932	RBBP8
HP:0012443	Abnormality of brain morphology	10084	PQBP1
HP:0012443	Abnormality of brain morphology	1908	EDN3
HP:0012443	Abnormality of brain morphology	1917	EEF1A2
HP:0012443	Abnormality of brain morphology	55180	LINS1
HP:0012443	Abnormality of brain morphology	255928	SYT14
HP:0012443	Abnormality of brain morphology	79813	EHMT1
HP:0012443	Abnormality of brain morphology	2006	ELN
HP:0012443	Abnormality of brain morphology	51199	NIN
HP:0012443	Abnormality of brain morphology	10300	KATNB1
HP:0012443	Abnormality of brain morphology	2189	FANCG
HP:0012443	Abnormality of brain morphology	6305	SBF1
HP:0012443	Abnormality of brain morphology	10516	FBLN5
HP:0012443	Abnormality of brain morphology	10518	CIB2
HP:0012443	Abnormality of brain morphology	80208	SPG11
HP:0012443	Abnormality of brain morphology	6496	SIX3
HP:0012443	Abnormality of brain morphology	10617	STAMBP
HP:0012443	Abnormality of brain morphology	6575	SLC20A2
HP:0012443	Abnormality of brain morphology	10682	EBP
HP:0012443	Abnormality of brain morphology	51660	MPC1
HP:0012443	Abnormality of brain morphology	6660	SOX5
HP:0012443	Abnormality of brain morphology	2566	GABRG2
HP:0012443	Abnormality of brain morphology	113179	ADAT3
HP:0012443	Abnormality of brain morphology	6687	SPG7
HP:0012443	Abnormality of brain morphology	6736	SRY
HP:0012443	Abnormality of brain morphology	2683	B4GALT1
HP:0012443	Abnormality of brain morphology	27286	SRPX2
HP:0012443	Abnormality of brain morphology	2778	GNAS
HP:0012443	Abnormality of brain morphology	6899	TBX1
HP:0012443	Abnormality of brain morphology	23417	MLYCD
HP:0012443	Abnormality of brain morphology	23522	KAT6B
HP:0012443	Abnormality of brain morphology	60528	ELAC2
HP:0012443	Abnormality of brain morphology	7443	VRK1
HP:0012443	Abnormality of brain morphology	7486	WRN
HP:0012443	Abnormality of brain morphology	7546	ZIC2
HP:0012443	Abnormality of brain morphology	7681	MKRN3
HP:0012443	Abnormality of brain morphology	56922	MCCC1
HP:0012443	Abnormality of brain morphology	3798	KIF5A
HP:0012443	Abnormality of brain morphology	3908	LAMA2
HP:0012443	Abnormality of brain morphology	3949	LDLR
HP:0002363	Abnormality of brainstem morphology	7443	VRK1
HP:0002363	Abnormality of brainstem morphology	54820	NDE1
HP:0002363	Abnormality of brainstem morphology	3908	LAMA2
HP:0002363	Abnormality of brainstem morphology	5119	CHMP1A
HP:0010892	Abnormality of branched chain family amino acid metabolism	56922	MCCC1
HP:0004363	Abnormality of calcium homeostasis	2006	ELN
HP:0004363	Abnormality of calcium homeostasis	2778	GNAS
HP:0004363	Abnormality of calcium homeostasis	6899	TBX1
HP:0100530	Abnormality of calcium-phosphate metabolism	2778	GNAS
HP:0002648	Abnormality of calvarial morphology	1123	CHN1
HP:0002648	Abnormality of calvarial morphology	9321	TRIP11
HP:0002648	Abnormality of calvarial morphology	112752	IFT43
HP:0002648	Abnormality of calvarial morphology	8318	CDC45
HP:0002648	Abnormality of calvarial morphology	10370	CITED2
HP:0002648	Abnormality of calvarial morphology	2189	FANCG
HP:0002648	Abnormality of calvarial morphology	9361	LONP1
HP:0002648	Abnormality of calvarial morphology	57492	ARID1B
HP:0002648	Abnormality of calvarial morphology	25939	SAMHD1
HP:0002648	Abnormality of calvarial morphology	57697	FANCM
HP:0002648	Abnormality of calvarial morphology	7546	ZIC2
HP:0002648	Abnormality of calvarial morphology	4488	MSX2
HP:0002648	Abnormality of calvarial morphology	9652	TTC37
HP:0002648	Abnormality of calvarial morphology	10682	EBP
HP:0002648	Abnormality of calvarial morphology	7681	MKRN3
HP:0002648	Abnormality of calvarial morphology	6660	SOX5
HP:0002648	Abnormality of calvarial morphology	2799	GNS
HP:0002648	Abnormality of calvarial morphology	83696	TRAPPC9
HP:0002648	Abnormality of calvarial morphology	79600	TCTN1
HP:0002648	Abnormality of calvarial morphology	6899	TBX1
HP:0002648	Abnormality of calvarial morphology	83737	ITCH
HP:0002648	Abnormality of calvarial morphology	5932	RBBP8
HP:0002648	Abnormality of calvarial morphology	10084	PQBP1
HP:0002648	Abnormality of calvarial morphology	1954	MEGF8
HP:0002648	Abnormality of calvarial morphology	79813	EHMT1
HP:0002648	Abnormality of calvarial morphology	9184	BUB3
HP:0002648	Abnormality of calvarial morphology	23522	KAT6B
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	5148	PDE6G
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	6295	SAG
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	7486	WRN
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	8516	ITGA8
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	5506	PPP1R3A
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	9652	TTC37
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	51660	MPC1
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	7681	MKRN3
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	56922	MCCC1
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	4729	NDUFV2
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	2778	GNAS
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	64218	SEMA4A
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	2799	GNS
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	23417	MLYCD
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	346007	EYS
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	56246	MRAP
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	9150	CTDP1
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	2006	ELN
HP:0004354	Abnormality of carboxylic acid metabolism	10841	FTCD
HP:0004354	Abnormality of carboxylic acid metabolism	56922	MCCC1
HP:0004354	Abnormality of carboxylic acid metabolism	3242	HPD
HP:0004354	Abnormality of carboxylic acid metabolism	26873	OPLAH
HP:0004354	Abnormality of carboxylic acid metabolism	9652	TTC37
HP:0004354	Abnormality of carboxylic acid metabolism	445	ASS1
HP:0004354	Abnormality of carboxylic acid metabolism	4594	MUT
HP:0030956	Abnormality of cardiovascular system electrophysiology	6736	SRY
HP:0030956	Abnormality of cardiovascular system electrophysiology	2778	GNAS
HP:0030956	Abnormality of cardiovascular system electrophysiology	9992	KCNE2
HP:0030956	Abnormality of cardiovascular system electrophysiology	781	CACNA2D1
HP:0030956	Abnormality of cardiovascular system electrophysiology	10516	FBLN5
HP:0030956	Abnormality of cardiovascular system electrophysiology	1837	DTNA
HP:0030956	Abnormality of cardiovascular system electrophysiology	3908	LAMA2
HP:0030956	Abnormality of cardiovascular system electrophysiology	57167	SALL4
HP:0030956	Abnormality of cardiovascular system electrophysiology	79188	TMEM43
HP:0030956	Abnormality of cardiovascular system electrophysiology	3949	LDLR
HP:0030956	Abnormality of cardiovascular system electrophysiology	2006	ELN
HP:0030956	Abnormality of cardiovascular system electrophysiology	23522	KAT6B
HP:0030680	Abnormality of cardiovascular system morphology	112752	IFT43
HP:0030680	Abnormality of cardiovascular system morphology	8318	CDC45
HP:0030680	Abnormality of cardiovascular system morphology	10370	CITED2
HP:0030680	Abnormality of cardiovascular system morphology	2189	FANCG
HP:0030680	Abnormality of cardiovascular system morphology	57492	ARID1B
HP:0030680	Abnormality of cardiovascular system morphology	57592	ZNF687
HP:0030680	Abnormality of cardiovascular system morphology	10516	FBLN5
HP:0030680	Abnormality of cardiovascular system morphology	6443	SGCB
HP:0030680	Abnormality of cardiovascular system morphology	8516	ITGA8
HP:0030680	Abnormality of cardiovascular system morphology	57697	FANCM
HP:0030680	Abnormality of cardiovascular system morphology	10617	STAMBP
HP:0030680	Abnormality of cardiovascular system morphology	6575	SLC20A2
HP:0030680	Abnormality of cardiovascular system morphology	4594	MUT
HP:0030680	Abnormality of cardiovascular system morphology	4607	MYBPC3
HP:0030680	Abnormality of cardiovascular system morphology	6736	SRY
HP:0030680	Abnormality of cardiovascular system morphology	613	BCR
HP:0030680	Abnormality of cardiovascular system morphology	4729	NDUFV2
HP:0030680	Abnormality of cardiovascular system morphology	2778	GNAS
HP:0030680	Abnormality of cardiovascular system morphology	2799	GNS
HP:0030680	Abnormality of cardiovascular system morphology	6899	TBX1
HP:0030680	Abnormality of cardiovascular system morphology	811	CALR
HP:0030680	Abnormality of cardiovascular system morphology	23394	ADNP
HP:0030680	Abnormality of cardiovascular system morphology	2934	GSN
HP:0030680	Abnormality of cardiovascular system morphology	23417	MLYCD
HP:0030680	Abnormality of cardiovascular system morphology	9184	BUB3
HP:0030680	Abnormality of cardiovascular system morphology	23522	KAT6B
HP:0030680	Abnormality of cardiovascular system morphology	5156	PDGFRA
HP:0030680	Abnormality of cardiovascular system morphology	1123	CHN1
HP:0030680	Abnormality of cardiovascular system morphology	9321	TRIP11
HP:0030680	Abnormality of cardiovascular system morphology	1130	LYST
HP:0030680	Abnormality of cardiovascular system morphology	60528	ELAC2
HP:0030680	Abnormality of cardiovascular system morphology	78987	CRELD1
HP:0030680	Abnormality of cardiovascular system morphology	9361	LONP1
HP:0030680	Abnormality of cardiovascular system morphology	3257	HPS1
HP:0030680	Abnormality of cardiovascular system morphology	7486	WRN
HP:0030680	Abnormality of cardiovascular system morphology	79188	TMEM43
HP:0030680	Abnormality of cardiovascular system morphology	3426	CFI
HP:0030680	Abnormality of cardiovascular system morphology	5506	PPP1R3A
HP:0030680	Abnormality of cardiovascular system morphology	9652	TTC37
HP:0030680	Abnormality of cardiovascular system morphology	79600	TCTN1
HP:0030680	Abnormality of cardiovascular system morphology	9997	SCO2
HP:0030680	Abnormality of cardiovascular system morphology	1837	DTNA
HP:0030680	Abnormality of cardiovascular system morphology	3908	LAMA2
HP:0030680	Abnormality of cardiovascular system morphology	126792	B3GALT6
HP:0030680	Abnormality of cardiovascular system morphology	57167	SALL4
HP:0030680	Abnormality of cardiovascular system morphology	10084	PQBP1
HP:0030680	Abnormality of cardiovascular system morphology	3949	LDLR
HP:0030680	Abnormality of cardiovascular system morphology	1909	EDNRA
HP:0030680	Abnormality of cardiovascular system morphology	1954	MEGF8
HP:0030680	Abnormality of cardiovascular system morphology	79813	EHMT1
HP:0030680	Abnormality of cardiovascular system morphology	2006	ELN
HP:0030680	Abnormality of cardiovascular system morphology	4091	SMAD6
HP:0011025	Abnormality of cardiovascular system physiology	8452	CUL3
HP:0011025	Abnormality of cardiovascular system physiology	10516	FBLN5
HP:0011025	Abnormality of cardiovascular system physiology	8516	ITGA8
HP:0011025	Abnormality of cardiovascular system physiology	80270	HSD3B7
HP:0011025	Abnormality of cardiovascular system physiology	10682	EBP
HP:0011025	Abnormality of cardiovascular system physiology	4594	MUT
HP:0011025	Abnormality of cardiovascular system physiology	6660	SOX5
HP:0011025	Abnormality of cardiovascular system physiology	4645	MYO5B
HP:0011025	Abnormality of cardiovascular system physiology	6736	SRY
HP:0011025	Abnormality of cardiovascular system physiology	613	BCR
HP:0011025	Abnormality of cardiovascular system physiology	2778	GNAS
HP:0011025	Abnormality of cardiovascular system physiology	6899	TBX1
HP:0011025	Abnormality of cardiovascular system physiology	781	CACNA2D1
HP:0011025	Abnormality of cardiovascular system physiology	811	CALR
HP:0011025	Abnormality of cardiovascular system physiology	7018	TF
HP:0011025	Abnormality of cardiovascular system physiology	9184	BUB3
HP:0011025	Abnormality of cardiovascular system physiology	23522	KAT6B
HP:0011025	Abnormality of cardiovascular system physiology	23534	TNPO3
HP:0011025	Abnormality of cardiovascular system physiology	5156	PDGFRA
HP:0011025	Abnormality of cardiovascular system physiology	1130	LYST
HP:0011025	Abnormality of cardiovascular system physiology	60528	ELAC2
HP:0011025	Abnormality of cardiovascular system physiology	3257	HPS1
HP:0011025	Abnormality of cardiovascular system physiology	7486	WRN
HP:0011025	Abnormality of cardiovascular system physiology	79188	TMEM43
HP:0011025	Abnormality of cardiovascular system physiology	5506	PPP1R3A
HP:0011025	Abnormality of cardiovascular system physiology	9652	TTC37
HP:0011025	Abnormality of cardiovascular system physiology	5740	PTGIS
HP:0011025	Abnormality of cardiovascular system physiology	9992	KCNE2
HP:0011025	Abnormality of cardiovascular system physiology	5932	RBBP8
HP:0011025	Abnormality of cardiovascular system physiology	1837	DTNA
HP:0011025	Abnormality of cardiovascular system physiology	3908	LAMA2
HP:0011025	Abnormality of cardiovascular system physiology	126792	B3GALT6
HP:0011025	Abnormality of cardiovascular system physiology	57167	SALL4
HP:0011025	Abnormality of cardiovascular system physiology	3949	LDLR
HP:0011025	Abnormality of cardiovascular system physiology	4023	LPL
HP:0011025	Abnormality of cardiovascular system physiology	79813	EHMT1
HP:0011025	Abnormality of cardiovascular system physiology	2006	ELN
HP:0011025	Abnormality of cardiovascular system physiology	4091	SMAD6
HP:0006257	Abnormality of carpal bone ossification	126792	B3GALT6
HP:0006257	Abnormality of carpal bone ossification	9361	LONP1
HP:0006257	Abnormality of carpal bone ossification	10682	EBP
HP:0410007	Abnormality of cartilage morphology	6496	SIX3
HP:3000034	Abnormality of cartilage of nasal septum	6496	SIX3
HP:0010929	Abnormality of cation homeostasis	2778	GNAS
HP:0010929	Abnormality of cation homeostasis	55532	SLC30A10
HP:0010929	Abnormality of cation homeostasis	6899	TBX1
HP:0010929	Abnormality of cation homeostasis	8452	CUL3
HP:0010929	Abnormality of cation homeostasis	9652	TTC37
HP:0010929	Abnormality of cation homeostasis	2006	ELN
HP:0011017	Abnormality of cell physiology	1536	CYBB
HP:0011017	Abnormality of cell physiology	4729	NDUFV2
HP:0011017	Abnormality of cell physiology	2189	FANCG
HP:0011017	Abnormality of cell physiology	4261	CIITA
HP:0011017	Abnormality of cell physiology	6899	TBX1
HP:0011017	Abnormality of cell physiology	57697	FANCM
HP:0011017	Abnormality of cell physiology	56262	LRRC8A
HP:0011017	Abnormality of cell physiology	3561	IL2RG
HP:0011017	Abnormality of cell physiology	23534	TNPO3
HP:0010987	Abnormality of cellular immune system	5156	PDGFRA
HP:0010987	Abnormality of cellular immune system	1130	LYST
HP:0010987	Abnormality of cellular immune system	2189	FANCG
HP:0010987	Abnormality of cellular immune system	4261	CIITA
HP:0010987	Abnormality of cellular immune system	57697	FANCM
HP:0010987	Abnormality of cellular immune system	3561	IL2RG
HP:0010987	Abnormality of cellular immune system	4594	MUT
HP:0010987	Abnormality of cellular immune system	4607	MYBPC3
HP:0010987	Abnormality of cellular immune system	1536	CYBB
HP:0010987	Abnormality of cellular immune system	10841	FTCD
HP:0010987	Abnormality of cellular immune system	613	BCR
HP:0010987	Abnormality of cellular immune system	811	CALR
HP:0010987	Abnormality of cellular immune system	57167	SALL4
HP:0010987	Abnormality of cellular immune system	56262	LRRC8A
HP:0010987	Abnormality of cellular immune system	7128	TNFAIP3
